datetime,bottom_temperature,stratified,thermocline_depth_smooth,thermocline_depth,hypo_temp
2000-04-05T00:00:00Z,7.5989185,NA,NA,NA,NA
2000-04-06T00:00:00Z,7.3367262,NA,NA,NA,NA
2000-04-07T00:00:00Z,7.4477799,NA,NA,NA,NA
2000-04-08T00:00:00Z,7.9500075,NA,NA,NA,NA
2000-04-09T00:00:00Z,7.8268901,NA,NA,NA,NA
2000-04-10T00:00:00Z,7.3463125,NA,NA,NA,NA
2000-04-11T00:00:00Z,7.0557293,NA,NA,NA,NA
2000-04-12T00:00:00Z,7.0547209,NA,NA,NA,NA
2000-04-13T00:00:00Z,7.1327073,NA,NA,NA,NA
2000-04-14T00:00:00Z,7.2593099,NA,NA,NA,NA
2000-04-15T00:00:00Z,7.7682713,NA,NA,NA,NA
2000-04-16T00:00:00Z,8.1256201,NA,4.592820352204885,8.874,8.278286374521459
2000-04-17T00:00:00Z,8.4578737,1,4.650629780190682,7.069179750590706,8.88538263727138
2000-04-18T00:00:00Z,8.701814,NA,NA,NA,NA
2000-04-19T00:00:00Z,9.2534682,NA,NA,NA,NA
2000-04-20T00:00:00Z,9.0987107,NA,NA,NA,NA
2000-04-21T00:00:00Z,9.10859,NA,NA,NA,NA
2000-04-22T00:00:00Z,8.873583,NA,NA,NA,NA
2000-04-23T00:00:00Z,8.2905123,NA,NA,NA,NA
2000-04-24T00:00:00Z,7.9534159,NA,NA,NA,NA
2000-04-25T00:00:00Z,8.0884821,NA,NA,NA,NA
2000-04-26T00:00:00Z,8.2005919,NA,NA,NA,NA
2000-04-27T00:00:00Z,8.3114095,NA,NA,NA,NA
2000-04-28T00:00:00Z,8.3320187,NA,NA,NA,NA
2000-04-29T00:00:00Z,8.3582219,1,4.707096645635508,0.986,9.099326952702818
2000-04-30T00:00:00Z,8.3875428,1,4.762314859720985,4.881659915233827,8.652097830828918
2000-05-01T00:00:00Z,8.4388297,1,4.816378333628736,6.875123688142038,8.736144499622803
2000-05-02T00:00:00Z,8.5437906,1,4.869380978540382,6.898417651705958,8.954009428839841
2000-05-03T00:00:00Z,8.6792801,1,4.921416705637543,6.934040990638542,9.159153066220911
2000-05-04T00:00:00Z,8.8351589,1,4.972579426101842,6.927675147493606,9.320882612780231
2000-05-05T00:00:00Z,8.9980947,1,5.022963051114902,6.918585947775669,9.472700227702374
2000-05-06T00:00:00Z,9.1614522,1,5.072661491858344,6.901353384236685,9.617837244259531
2000-05-07T00:00:00Z,9.321495,1,5.121768659513789,2.2351675894171015,12.522711659353135
2000-05-08T00:00:00Z,9.475998,1,5.170378465262858,2.1149419875353765,12.84804044408617
2000-05-09T00:00:00Z,9.6237028,1,5.218584820287173,2.08023777027483,13.06365535641634
2000-05-10T00:00:00Z,9.7640256,1,5.266481635768357,2.873447030277451,12.330129319050842
2000-05-11T00:00:00Z,9.896867,1,5.314162822888032,3.4779306402687635,12.078732002101033
2000-05-12T00:00:00Z,10.022474,1,5.361722292827818,3.8959411312412646,11.804125499781746
2000-05-13T00:00:00Z,10.141335,1,5.40924347746625,3.865037951406928,11.98628082668503
2000-05-14T00:00:00Z,10.254115,1,5.456629391536304,4.004270341721062,12.050794453676824
2000-05-15T00:00:00Z,10.361592,1,5.503703320501264,4.056308112094321,12.25621397345978
2000-05-16T00:00:00Z,10.464615,1,5.550288549824419,4.1531756050859245,12.402485953342387
2000-05-17T00:00:00Z,10.564096,1,5.596208364969052,4.17280112098447,12.497917150760353
2000-05-18T00:00:00Z,10.660979,1,5.64128605139845,4.128590625567231,12.720572350006895
2000-05-19T00:00:00Z,10.756133,1,5.685344894575898,4.9804894183270125,12.051516894163928
2000-05-20T00:00:00Z,10.850328,1,5.728208179964684,5.0007532628148,12.204543263068484
2000-05-21T00:00:00Z,10.944409,1,5.769699193028089,5.0227974799590775,12.315894491957852
2000-05-22T00:00:00Z,11.039166,1,5.809641219229404,5.0543855579074934,12.400706190939328
2000-05-23T00:00:00Z,11.135089,1,5.8478575440319105,5.072142691702614,12.50113427289204
2000-05-24T00:00:00Z,11.232397,1,5.8841714528988955,5.211020241805535,12.55940990892227
2000-05-25T00:00:00Z,11.331194,1,5.9184062312936465,5.839836237454342,12.249141760666193
2000-05-26T00:00:00Z,11.431942,1,5.950385164679446,6.004285154547318,12.403933348518898
2000-05-27T00:00:00Z,11.537699,1,5.979931538519583,6.843430385025969,12.202766958461678
2000-05-28T00:00:00Z,11.659968,1,6.006868638277341,6.923843361370085,12.407606262288008
2000-05-29T00:00:00Z,11.804093,1,6.035658265531012,6.9347319141537085,12.589081281826166
2000-05-30T00:00:00Z,11.962031,1,6.070127147865215,6.932859244741649,12.76341281014032
2000-05-31T00:00:00Z,12.128175,1,6.109145959752726,6.930717094434171,12.929591042977888
2000-06-01T00:00:00Z,12.298641,1,6.151585375666318,6.927546014644706,13.088600023608286
2000-06-02T00:00:00Z,12.470611,1,6.196316070078771,6.9225754612741985,13.241401262569337
2000-06-03T00:00:00Z,12.641998,1,6.242208717462858,6.915195262429627,13.38870353188214
2000-06-04T00:00:00Z,12.81124,1,6.288133992291352,6.90252409774163,13.53280165038147
2000-06-05T00:00:00Z,12.977178,1,6.332962569037035,6.881788014001431,13.676661652385356
2000-06-06T00:00:00Z,13.13897,1,6.375565122172678,6.850625659201533,13.82138355155994
2000-06-07T00:00:00Z,13.296039,1,6.414812326171058,6.600101751438513,14.111695854683
2000-06-08T00:00:00Z,13.448059,1,6.44957485550495,6.016940189914416,14.75467560525476
2000-06-09T00:00:00Z,13.595145,1,6.478723384647131,5.93030372855927,14.981963370189705
2000-06-10T00:00:00Z,13.737886,1,6.501128588070376,6.003436231423549,15.052650993138062
2000-06-11T00:00:00Z,13.877051,1,6.5156611402474605,6.018584183194964,15.160275195519427
2000-06-12T00:00:00Z,14.013385,1,6.5211917156511605,6.034272050976472,15.26419058749847
2000-06-13T00:00:00Z,14.147474,1,6.516590988754251,6.023193618005413,15.391438268658097
2000-06-14T00:00:00Z,14.279714,1,6.495223126288881,6.140861201107682,15.418222897970812
2000-06-15T00:00:00Z,14.410674,1,6.453194799129434,6.8735343659711035,15.077894142408764
2000-06-16T00:00:00Z,14.542981,1,6.393490437962036,6.942389273587816,15.215442106858509
2000-06-17T00:00:00Z,14.679379,1,6.31909447347282,6.938530565829982,15.360545326197316
2000-06-18T00:00:00Z,14.819724,1,6.2329913363479115,6.933528745318614,15.49991229108872
