hydrolakes_id,lat,lon,area,depth,isimip_id
64,44.25,-73.25,1147.46520996094,122,18005
163,-2.25,29.25,2402.2470703125,475,6805
643,50.75,-106.75,391.523132324219,66,22288
657,51.25,-105.25,214.102142333984,35.2539672851562,22660
724,48.25,-118.25,268.692932128906,51.7313919067383,20451
730,47.75,-114.25,486.990753173828,9.1560001373291,20108
738,47.25,-94.25,412.682342529297,46.9799995422363,19816
767,43.75,-73.75,113.358734130859,51.86767578125,17731
796,38.25,-93.25,187.033081054688,50.0259094238281,15137
804,36.75,-93.25,118.159080505371,62.6999244689941,14511
808,36.25,-92.75,153.277648925781,51.4221153259277,14327
811,35.75,-92.25,118.513961791992,48.756778717041,14123
825,33.75,-96.75,263.219116210938,30.2971172332764,13361
830,33.25,-80.25,221.035110473633,59.1829071044922,13241
1275,45.75,8.75,208.470901489258,309.876678466797,18915
1361,36.25,140.25,168.311447143555,86.7381744384766,14472
1414,32.75,35.75,162.182769775391,68.9274368286133,13083
6632,53.75,-106.25,70.1358337402344,24.0229797363281,24584
7696,50.75,-103.75,31.6505718231201,28.0270347595215,22294
7758,50.75,-102.75,16.0880393981934,26.553524017334,22296
7762,50.75,-105.75,28.6259231567383,22.4075317382812,22290
8358,48.25,-99.25,13.7439842224121,14.0809736251831,20488
8478,47.75,-122.25,83.7870788574219,65,20092
8557,47.25,-68.25,32.3677520751953,22.3333606719971,19860
8845,45.25,-94.25,12.1452751159668,24.3600006103516,18524
8856,45.25,-67.75,70.8289184570312,16.2783756256104,18574
8902,44.75,-68.75,19.5134620666504,17.0238609313965,18271
8906,44.75,-93.75,31.1356391906738,35.6499900817871,18224
8931,44.75,-69.25,17.8786849975586,9.70529747009277,18270
9017,44.25,-70.75,10.792555809021,11.4491338729858,18010
9025,44.25,-86.25,18.4208717346191,17.6094722747803,17982
9086,43.25,-89.25,41.1084327697754,25.2984008789062,17447
9102,42.75,-74.75,16.3108673095703,21.5086498260498,17223
9131,42.25,-75.25,16.2998275756836,23.3402481079102,16985
9209,39.25,-91.75,58.8562049865723,27.9316940307617,15552
9219,39.25,-94.75,24.6662139892578,21.0358715057373,15546
9248,38.25,-97.25,24.6266098022461,23.9122219085693,15129
9273,37.75,-93.75,96.5352554321289,31.7045021057129,14922
9288,37.25,-80.75,14.6150751113892,21.5013561248779,14734
9290,37.25,-79.75,71.0559768676758,26.8914012908936,14736
9294,36.75,-90.25,23.8049926757812,26.681224822998,14515
9313,36.25,-93.75,71.3737411499023,29.9850749969482,14326
9322,36.25,-92.25,79.4712905883789,24.7257022857666,14328
9358,35.25,-97.25,20.5315074920654,30.936653137207,13909
9373,34.75,-92.75,35.0027008056641,15.4511775970459,13716
12809,59.75,18.75,23.150032043457,24.8507843017578,28865
13243,55.75,35.75,24.5442657470703,21.8320541381836,26199
13324,54.75,26.75,78.2232131958008,16.625560760498,25500
14185,45.75,10.25,58.6933479309082,71.3455657958984,18918
16649,-38.25,176.25,79.8642120361328,20.6471824645996,757
16673,-42.75,171.25,39.4720687866211,17.0020408630371,490
98797,50.25,-104.75,1.17058265209198,8.79684162139893,21931
110193,44.25,-93.75,1.55369818210602,8.86853885650635,17969
110227,44.25,-70.25,2.18357467651367,12.8587894439697,18011
110435,44.25,-69.75,5.38446617126465,10.4149808883667,18012
110665,43.75,-69.75,1.62667191028595,15.3895072937012,17739
110740,43.75,-70.25,6.91981601715088,18.428783416748,17738
110899,43.75,-115.75,8.79984569549561,24.9586658477783,17663
111058,43.25,-72.25,1.13930761814117,24.6489200592041,17479
111096,43.25,-88.25,9.42951965332031,13.7159996032715,17449
111593,41.75,-74.75,4.13368034362793,29.2529926300049,16749
112102,40.25,-94.75,2.70533514022827,12.8289747238159,15975
112557,38.25,-94.25,1.17413437366486,13.602518081665,15135
112679,37.25,-93.25,2.75534009933472,25.8054122924805,14711
112722,37.25,-90.75,6.91474676132202,12.9807586669922,14715
112796,36.25,-94.75,9.03024959564209,15.6780204772949,14324
170136,46.25,11.25,5.05698871612549,27.6737365722656,19233
184967,-38.25,176.75,7.35592460632324,23.4969711303711,758
1038367,45.25,-119.75,0.401881992816925,8.51930809020996,18483
1045611,44.25,-68.25,0.641157686710358,15.6160926818848,18015
1057331,38.75,-92.25,0.688521385192871,13.3207626342773,15343
1057625,38.75,-92.75,0.280548959970474,11.4318494796753,15342
1058375,37.75,-91.75,0.400949627161026,11.0874300003052,14926
